Student_ID,Gender,Academic_Year,Q1_interruptions,Q2_short_sessions_pct,Q3_task_switching,Q4_duration_variability,Q5_daily_sessions,Q6_focus_difficulty,Q7_pause_freq,Q8_replay_freq,Q9_content_replayed_pct,Q10_replay_time_ratio,Q11_replay_reliance,Learning_Effectiveness,Course_Satisfaction,Self_Reported_Performance
24,Female,4,4.42,66.41,5.41,2.2,3.97,8.1,4.78,2.28,45.2,1.02,5.87,3.49,5.63,6.68
25,Female,2,7.49,23.06,8.46,2.03,1.35,7.14,8.28,1.26,25.18,1.34,4.66,7.73,5.66,4.74
26,Female,2,2.42,51.2,7.3,3.03,4.3,3.22,3.76,1.65,74.57,2.22,8.2,6.22,8.03,8.71
27,Female,2,3.66,62.21,6.92,3.12,3.65,8.83,1.87,2.34,36.41,0.9,7.63,7.47,4.29,8.18
28,Female,4,6.32,43.86,6.97,0.41,6.33,8.17,2.48,1.71,48.22,0.9,4.06,5.83,3.33,7.28
29,Female,2,2.26,42.08,4.06,1.92,3.11,9.12,2.47,1.9,75.08,1.8,3.45,4.6,5.16,8.53
30,Female,3,1.09,21.93,3.5,3.08,1.7,7.44,2.75,2.64,54.19,1.14,4.35,8.32,4.65,8.64
31,Male,4,2.73,11.52,7.88,2.51,1.86,6.6,2.6,1.8,16.65,0.62,5.93,8.2,4.72,7.6
32,Male,3,1.74,67.81,7.89,4.14,5.57,5.14,8.37,7.23,77.55,1.14,3.51,7.52,4.25,8.44
33,Female,4,7.66,68.03,8.37,3.23,4.71,9.0,3.09,1.1,54.45,0.42,6.18,4.77,2.82,7.53
34,Female,2,6.72,49.32,8.76,0.95,1.61,8.5,4.98,4.43,32.78,0.51,4.57,6.84,2.63,7.42
35,Female,3,5.38,28.73,5.35,0.52,1.5,2.34,11.31,3.58,18.31,1.25,5.64,5.35,9.91,7.02
36,Male,4,7.21,29.44,5.26,3.16,5.21,2.2,6.45,7.87,66.76,1.06,4.77,3.6,5.71,7.89
37,Female,1,6.69,55.82,7.79,0.32,1.44,4.82,8.68,1.34,53.89,2.2,3.71,8.96,5.38,4.03
38,Male,2,1.94,67.8,6.52,2.89,5.93,8.08,2.98,3.48,47.48,0.93,8.61,3.89,7.6,8.73
39,Male,4,7.37,67.1,6.97,4.53,5.24,9.4,3.21,7.77,74.15,1.44,7.23,9.18,4.14,8.67
40,Male,1,4.65,59.59,7.76,2.85,1.49,3.13,1.47,6.99,66.36,1.55,2.55,5.9,9.62,3.19
41,Male,4,6.72,49.94,8.57,1.99,1.51,6.46,2.94,6.63,19.22,0.13,8.01,4.2,8.4,8.37
42,Male,1,7.4,10.89,3.87,3.16,6.92,4.86,4.2,2.43,31.07,1.63,5.16,6.52,3.17,3.84
43,Female,2,2.95,16.31,4.19,2.31,3.25,9.27,3.04,1.78,26.39,0.51,8.21,8.67,5.63,5.18
44,Female,3,1.35,67.9,1.8,2.71,3.22,8.32,2.02,5.51,63.05,2.31,7.5,7.76,9.09,7.83
45,Female,1,2.26,47.45,5.92,4.53,5.88,8.29,2.39,7.47,10.48,0.44,4.69,8.24,9.59,4.04
46,Female,4,3.79,5.64,1.31,1.98,6.68,5.52,6.3,4.68,50.17,1.05,1.67,7.28,6.01,8.32
47,Female,2,6.8,12.1,4.96,4.62,6.92,5.11,3.37,4.79,64.42,0.3,3.52,7.5,7.1,8.41
48,Male,1,7.13,51.45,5.61,4.36,5.52,4.05,5.19,2.6,72.88,2.39,5.56,8.52,3.75,6.3
49,Female,4,0.55,5.35,3.44,1.1,3.26,2.42,6.79,6.27,33.31,1.26,6.25,4.62,9.93,3.04
50,Female,4,4.43,16.26,6.02,0.52,1.5,8.49,8.94,1.9,68.77,1.47,3.43,6.18,4.24,4.87
51,Male,4,3.71,43.41,1.26,0.66,5.66,8.1,1.45,2.93,16.19,0.25,2.55,4.44,9.57,7.01
52,Female,1,2.21,53.43,1.32,0.28,4.35,9.5,10.19,3.69,70.64,1.82,7.76,9.42,7.37,9.38
53,Male,1,1.42,50.64,7.99,0.63,3.55,9.47,8.22,4.31,17.43,0.58,8.88,9.14,7.06,7.11
54,Female,1,3.1,20.7,4.06,3.34,6.44,6.17,1.94,2.32,37.4,2.17,5.44,3.26,6.35,4.69
55,Male,3,7.76,54.85,2.08,0.53,1.67,7.77,11.05,1.36,67.0,0.57,2.79,7.59,4.23,7.12
56,Female,1,2.99,21.61,5.44,1.67,3.96,9.09,11.59,5.08,19.09,0.54,3.54,9.01,3.82,6.51
57,Female,1,4.49,27.78,7.54,4.09,1.07,8.37,1.7,2.66,24.96,0.18,1.64,4.17,4.15,8.07
58,Male,1,5.91,57.25,2.83,0.31,3.81,3.86,4.18,4.86,61.45,1.19,8.36,6.69,3.9,3.7
59,Male,3,3.3,50.47,6.29,3.95,1.34,5.38,10.27,1.66,61.28,1.4,2.38,8.95,8.35,7.95
60,Male,1,7.98,64.45,1.73,1.5,1.71,2.97,9.6,4.11,55.44,0.25,5.82,3.22,5.13,6.52
61,Male,4,7.91,51.03,1.44,0.74,1.71,9.16,3.12,4.49,59.35,1.88,3.56,7.53,2.93,9.26
62,Male,1,2.44,44.78,5.52,3.4,4.9,6.55,3.41,0.89,48.16,1.14,5.66,4.93,9.77,5.22
63,Male,4,4.33,11.56,5.6,3.09,5.48,3.71,5.26,3.02,26.63,1.31,6.39,9.01,9.13,7.11
64,Male,4,2.82,30.74,6.42,4.24,4.5,7.04,6.57,1.51,33.58,1.11,7.72,9.31,9.46,9.06
65,Male,4,2.69,23.56,7.17,3.58,6.77,6.64,8.11,0.98,21.44,1.02,3.05,9.14,9.96,3.67
66,Female,3,0.78,22.08,9.29,3.9,3.25,4.69,5.24,7.92,75.23,1.39,1.58,6.08,3.8,9.09
67,Female,3,5.19,73.11,5.39,1.5,2.71,2.85,6.32,2.92,51.17,0.46,2.53,8.6,5.47,7.47
68,Male,3,4.37,32.52,3.75,1.02,6.21,7.04,9.6,6.57,37.66,0.52,8.25,8.49,8.19,3.44
69,Female,1,0.9,67.44,7.76,3.65,2.34,5.9,1.42,2.41,42.19,2.08,8.05,5.07,7.72,4.96
70,Female,4,2.65,49.18,3.3,3.91,6.78,7.79,3.9,5.61,78.1,2.28,5.98,8.39,3.65,7.6
71,Female,3,7.49,60.64,4.73,4.76,1.07,5.9,9.2,6.2,19.35,0.96,6.0,3.24,8.62,3.44
72,Female,3,2.34,40.18,1.67,2.1,6.82,8.39,11.29,4.97,51.38,0.72,6.49,6.88,4.18,6.78
73,Male,1,1.62,45.38,1.22,1.91,1.26,6.14,6.88,4.04,45.44,1.58,2.82,4.5,4.18,5.25
74,Female,3,4.27,39.48,9.18,3.77,6.35,6.21,7.12,3.59,53.25,1.04,8.36,3.78,6.53,7.04
75,Male,1,8.09,18.67,8.11,1.77,4.17,8.57,2.23,3.12,9.34,0.16,4.64,3.5,6.95,3.3
76,Female,2,2.36,55.57,6.92,4.48,6.96,5.03,6.15,7.47,72.54,0.46,4.37,7.53,6.85,8.66
77,Female,3,5.68,24.65,4.48,4.15,1.44,3.01,7.13,6.73,76.98,1.75,5.39,5.21,3.19,9.33
78,Female,2,6.36,6.7,2.47,2.17,4.32,2.22,3.79,7.74,49.82,1.62,1.85,7.71,9.08,9.3
79,Male,1,2.33,50.18,2.33,3.65,6.82,7.66,4.1,1.43,59.55,0.16,2.75,3.42,4.49,7.87
80,Female,4,6.11,17.4,3.13,3.67,4.14,6.65,5.34,5.98,76.26,0.61,7.04,5.05,3.47,3.85
